# Dataset "300K (+)" exported from GenX on Fri Dec 16 11:25:27 2016
# Column lables:
# x	I_simulated	I	error(I)	error(x)
8.817664644095999857e-03 1.000001234343554923e+00 1.010593999999999992e+00 2.994002000000000122e-02 4.080165521769448791e-04
8.902045033728000351e-03 1.000001234343555367e+00 9.958746000000000542e-01 2.760949999999999863e-02 4.081818571024263867e-04
8.988054501887998704e-03 1.000001234343555145e+00 1.022551999999999905e+00 2.664015000000000133e-02 4.083524114939722071e-04
9.075743432447998249e-03 1.000001234343554923e+00 9.759200999999999571e-01 2.500275000000000067e-02 4.085284125927410759e-04
9.165159060287999399e-03 9.996810138132794510e-01 1.033765999999999963e+00 2.495166000000000051e-02 4.087101414005975112e-04
9.256354918271999729e-03 9.994650769925309541e-01 9.875393999999999561e-01 2.379975000000000146e-02 4.088978507021527359e-04
9.349383489600000471e-03 9.993171461844604364e-01 9.988867000000000163e-01 2.364785999999999971e-02 4.090917487681716962e-04
9.444301456127998651e-03 9.959306409978130326e-01 9.721307000000000142e-01 2.308173000000000169e-02 4.092921938867391941e-04
9.541165499711998232e-03 9.937847756589148762e-01 8.956315000000000248e-01 2.158904999999999852e-02 4.094994067098144445e-04
9.640037550527998794e-03 9.922691881274084968e-01 9.896907000000000343e-01 2.188340000000000077e-02 4.097137721633268485e-04
9.740979538751998179e-03 9.791737090282093270e-01 9.757445999999999620e-01 2.092089999999999922e-02 4.099355681375311047e-04
9.844058642879998516e-03 9.723347359090391828e-01 9.777101999999999737e-01 2.044843000000000008e-02 4.101652115795726425e-04
9.949344140735999834e-03 9.567503116735491808e-01 9.468556000000000195e-01 1.966808999999999918e-02 4.104030020451420986e-04
1.005690321081599906e-02 9.343473554950476601e-01 9.605540999999999663e-01 1.942411999999999958e-02 4.106493659532765980e-04
1.016681562758399784e-02 9.203636219719278921e-01 9.070844999999999603e-01 1.832912999999999903e-02 4.109047926321766583e-04
1.027915696684800033e-02 8.815953187736590424e-01 8.944826999999999639e-01 1.768000999999999948e-02 4.111695621796346246e-04
1.039400700307199950e-02 8.557354857577893492e-01 8.574201999999999657e-01 1.677060000000000009e-02 4.114443465213890702e-04
1.051145075903999956e-02 8.211683124998173655e-01 8.272216000000000014e-01 1.614134999999999875e-02 4.117295189449311364e-04
1.063158480383999925e-02 7.866133500958414349e-01 7.754746999999999613e-01 1.531710000000000016e-02 4.120257305879349843e-04
1.075448996160000004e-02 7.603529287077596122e-01 7.645408000000000204e-01 1.497375999999999915e-02 4.123333709948783432e-04
1.088028169535999908e-02 7.228487254297459863e-01 7.657418000000000280e-01 1.468057000000000042e-02 4.126533059787719634e-04
1.100903348159999913e-02 6.959966048113920278e-01 6.812200000000000477e-01 1.351378999999999948e-02 4.129859289985676795e-04
1.114088177663999889e-02 6.674680549982302535e-01 6.743787999999999450e-01 1.323739999999999986e-02 4.133321335168728297e-04
1.127592105024000091e-02 6.430450081760805681e-01 6.502947999999999507e-01 1.279165999999999984e-02 4.136925941722428292e-04
1.141427726208000051e-02 6.199621194617719322e-01 6.481966999999999590e-01 1.241986999999999952e-02 4.140681137842058194e-04
1.155606587519999832e-02 5.983273380953192389e-01 6.042840999999999907e-01 1.178256999999999916e-02 4.144595524588135568e-04
1.170143384255999813e-02 5.776801926222098205e-01 5.821952999999999712e-01 1.146090999999999950e-02 4.148677775103292017e-04
1.185049662719999883e-02 5.578048116082605645e-01 5.420101000000000502e-01 1.092219000000000002e-02 4.152939050347837792e-04
1.200340118207999900e-02 5.385619946094294397e-01 5.287148000000000403e-01 1.049818999999999926e-02 4.157388797938556843e-04
1.216030495679999886e-02 5.198529921610760551e-01 5.187910000000000021e-01 9.939636999999999431e-03 4.162038767339992285e-04
1.232137589759999853e-02 5.016042170546773926e-01 5.087817999999999508e-01 9.377543999999999810e-03 4.166900917349607701e-04
1.248676095744000007e-02 4.837626110678128755e-01 4.848013999999999935e-01 8.827079999999999302e-03 4.171989122256312683e-04
1.265664907583999993e-02 4.662838371206682875e-01 4.638895000000000102e-01 8.523340000000000777e-03 4.177317565029500888e-04
1.283121869567999812e-02 4.491351109444533529e-01 4.425554999999999906e-01 8.094712999999999908e-03 4.182900742833853052e-04
1.301067974975999783e-02 4.322888531797483558e-01 4.366943999999999826e-01 7.721747999999999633e-03 4.188755548966900427e-04
1.319523167423999888e-02 4.157248717256575854e-01 4.118085000000000218e-01 6.974560000000000308e-03 4.194243370941772259e-04
1.319523167423999888e-02 4.157254068738079344e-01 4.256850999999999829e-01 7.496222999999999775e-03 4.194901130563627304e-04
1.338508440191999924e-02 3.994293145675572032e-01 3.895120000000000249e-01 6.566027000000000322e-03 4.200679923489648708e-04
1.338508440191999924e-02 3.994298258858656192e-01 3.992225999999999830e-01 7.165504999999999965e-03 4.201355672172495440e-04
1.358048985215999996e-02 3.833881189487110541e-01 3.909267000000000158e-01 6.256302000000000044e-03 4.207446353302796735e-04
1.358048985215999996e-02 3.833886098944990772e-01 3.644255000000000133e-01 8.069958000000000339e-03 4.208141264036177566e-04
1.378167895103999882e-02 3.675940557191575975e-01 3.706233999999999917e-01 5.956666000000000218e-03 4.214565724182741963e-04
1.398892461119999840e-02 3.520405321809075283e-01 3.452438999999999925e-01 5.585167999999999730e-03 4.222063134059461089e-04
1.420249974527999955e-02 3.367247068465282767e-01 3.393318000000000167e-01 5.379786999999999590e-03 4.229965516389111186e-04
1.442268776255999953e-02 3.216463044910907176e-01 3.258448999999999929e-01 5.173416000000000126e-03 4.238301747923217699e-04
1.464982455552000032e-02 3.068046819178461004e-01 3.176013999999999782e-01 5.093758999999999787e-03 4.247107131713185680e-04
1.488421452671999899e-02 2.922043371861739458e-01 2.887559000000000098e-01 5.029318999999999977e-03 4.256412265047759672e-04
1.512623555519999885e-02 2.778479924058888106e-01 2.841709000000000040e-01 4.992021000000000132e-03 4.266261694543479512e-04
1.537625502335999983e-02 2.637419168232347233e-01 2.692728999999999817e-01 4.759605000000000086e-03 4.276692068601151793e-04
1.563468230015999799e-02 2.498926788522909948e-01 2.487182000000000004e-01 4.438285000000000147e-03 4.287755839085989899e-04
1.590193725119999971e-02 2.363089179436250742e-01 2.410731000000000124e-01 4.239427999999999946e-03 4.299500598737486068e-04
1.617849222527999870e-02 2.229991563921375763e-01 2.331045999999999951e-01 4.095019000000000090e-03 4.311984953558627609e-04
1.646484056447999889e-02 2.099735010272559821e-01 2.214708999999999983e-01 3.998433000000000022e-03 4.325270679171420584e-04
1.676150710079999870e-02 1.972430720179794150e-01 2.053737999999999952e-01 3.928155000000000015e-03 4.339426752799959157e-04
1.706905865279999962e-02 1.848195671995967182e-01 1.801483000000000112e-01 3.824806000000000039e-03 4.354534229440503671e-04
1.738810402559999926e-02 1.727153255419686950e-01 1.794661999999999924e-01 3.718510999999999865e-03 4.370671114610318324e-04
1.771930450751999647e-02 1.609429982099173095e-01 1.624424999999999897e-01 3.426605000000000102e-03 4.387938547996769897e-04
1.806337387007999826e-02 1.495156393120567473e-01 1.512902000000000136e-01 3.210117000000000179e-03 4.406439407543918702e-04
1.842105737471999918e-02 1.384473759919184754e-01 1.394447000000000048e-01 2.990416000000000081e-03 4.426292729319311722e-04
1.879320524927999975e-02 1.277511242639741695e-01 1.306660000000000044e-01 2.867768000000000140e-03 4.447630672680567766e-04
1.918068871487999677e-02 1.174412206598842295e-01 1.244335000000000024e-01 2.784750999999999806e-03 4.470599938819062218e-04
1.958449445567999811e-02 1.075307132444960900e-01 1.088897999999999949e-01 2.559446999999999851e-03 4.495370600871968444e-04
2.000567213567999714e-02 9.803290366175089476e-02 1.018362000000000017e-01 2.433890000000000185e-03 4.522125960714605953e-04
2.044535539199999682e-02 8.896072461770651585e-02 9.011590999999999352e-02 2.262688000000000112e-03 4.551081914274450967e-04
2.090479332480000077e-02 8.032608012506810280e-02 8.320916999999999897e-02 2.131103000000000077e-03 4.582474215923096794e-04
2.138537149055999911e-02 7.213959710499925904e-02 7.189391000000000531e-02 1.966910000000000099e-03 4.616578723730485568e-04
2.188854892223999690e-02 6.441167758138757748e-02 6.460486999999999480e-02 1.838440999999999903e-03 4.653702643310593176e-04
2.241598408895999553e-02 5.715036592036333574e-02 5.407499999999999807e-02 1.650914999999999978e-03 4.694194641418695775e-04
2.296947191615999681e-02 5.036245173892658911e-02 4.868287999999999782e-02 1.546077999999999992e-03 4.738462037243730269e-04
2.355097527551999748e-02 4.405288502269374962e-02 4.319135999999999809e-02 1.446479999999999988e-03 4.786962689313652673e-04
2.372437976831999820e-02 4.230126191721510220e-02 4.482970000000000010e-02 8.858966000000000453e-04 4.594784448294500566e-04
2.406573050111999665e-02 3.907752116787072821e-02 3.976649000000000156e-02 8.072598000000000057e-04 4.613648778562256690e-04
2.416268796479999897e-02 3.822405303735606358e-02 3.891238999999999809e-02 1.389269999999999958e-03 4.840232305010163153e-04
2.441706353855999795e-02 3.600248072350809708e-02 3.600238000000000049e-02 7.295407000000000064e-04 4.633429230745194326e-04
2.477879874623999806e-02 3.307605264323553590e-02 3.266489999999999672e-02 6.795412999999999714e-04 4.654185688779617137e-04
2.480702421119999890e-02 3.287594568762863823e-02 3.273241000000000345e-02 1.255727000000000102e-03 4.898874338052058896e-04
2.515140847295999765e-02 3.029762216854266915e-02 3.048963999999999841e-02 6.379670000000000262e-04 4.675982260142675273e-04
2.548667115455999915e-02 2.800565788328493455e-02 2.742872000000000018e-02 1.130039999999999907e-03 4.963604960256305610e-04
2.553539655743999534e-02 2.766626753947248191e-02 2.706379000000000076e-02 5.835038999999999547e-04 4.698890081677161508e-04
2.593129832831999812e-02 2.518076634513989956e-02 2.450551999999999939e-02 5.446621999999999705e-04 4.722983425920633440e-04
2.620460984063999882e-02 2.360724729496633742e-02 2.329410999999999982e-02 1.108218999999999914e-03 5.035227597229741548e-04
