# Dataset "300K (-)" exported from GenX on Fri Dec 16 11:25:27 2016
# Column lables:
# x	I_simulated	I	error(I)	error(x)
8.817664644095999857e-03 1.000001234343554923e+00 1.054909000000000097e+00 2.847146999999999872e-02 4.080165521769448791e-04
8.902045033728000351e-03 1.000001234343555367e+00 1.056553000000000075e+00 2.648121999999999976e-02 4.081818571024263867e-04
8.988054501887998704e-03 1.000001234343555145e+00 1.000515999999999961e+00 2.449486000000000024e-02 4.083524114939722071e-04
9.075743432447998249e-03 1.000001234343554701e+00 1.006045000000000078e+00 2.361945999999999837e-02 4.085284125927410759e-04
9.165159060287999399e-03 9.994833782516181486e-01 1.013139000000000012e+00 2.296095999999999901e-02 4.087101414005975112e-04
9.256354918271999729e-03 9.991541134448829187e-01 1.036640000000000006e+00 2.269515000000000074e-02 4.088978507021527359e-04
9.349383489600000471e-03 9.989387831850075061e-01 1.024366000000000110e+00 2.228308999999999845e-02 4.090917487681716962e-04
9.444301456127998651e-03 9.935013746050299632e-01 1.015441000000000038e+00 2.195596999999999827e-02 4.092921938867391941e-04
9.541165499711998232e-03 9.902652353214557168e-01 9.724302999999999697e-01 2.094425999999999927e-02 4.094994067098144445e-04
9.640037550527998794e-03 9.880862894959544507e-01 1.002655999999999992e+00 2.048714999999999911e-02 4.097137721633268485e-04
9.740979538751998179e-03 9.673830951681979817e-01 9.984300000000000397e-01 1.968492000000000158e-02 4.099355681375311047e-04
9.844058642879998516e-03 9.573392316644645517e-01 9.899896000000000251e-01 1.913882999999999904e-02 4.101652115795726425e-04
9.949344140735999834e-03 9.330335089108638957e-01 9.672418000000000404e-01 1.848924000000000054e-02 4.104030020451420986e-04
1.005690321081599906e-02 8.991220368868401147e-01 9.163004000000000149e-01 1.762290000000000037e-02 4.106493659532765980e-04
1.016681562758399784e-02 8.793120955581360532e-01 8.902894000000000085e-01 1.687490000000000170e-02 4.109047926321766583e-04
1.027915696684800033e-02 8.199381209506232393e-01 8.713904000000000094e-01 1.621544999999999931e-02 4.111695621796346246e-04
1.039400700307199950e-02 7.831602233131946811e-01 8.094314000000000231e-01 1.513071000000000034e-02 4.114443465213890702e-04
1.051145075903999956e-02 7.325466709362030704e-01 7.684098999999999791e-01 1.444350999999999968e-02 4.117295189449311364e-04
1.063158480383999925e-02 6.837776626097655797e-01 7.153414000000000161e-01 1.365380000000000066e-02 4.120257305879349843e-04
1.075448996160000004e-02 6.490074590029759616e-01 6.431915000000000271e-01 1.273313000000000049e-02 4.123333709948783432e-04
1.088028169535999908e-02 5.968500439653229295e-01 5.973003999999999536e-01 1.200851000000000002e-02 4.126533059787719634e-04
1.100903348159999913e-02 5.626716726802476476e-01 5.650863000000000413e-01 1.140960000000000064e-02 4.129859289985676795e-04
1.114088177663999889e-02 5.262338802748379729e-01 5.465227000000000279e-01 1.104152000000000085e-02 4.133321335168728297e-04
1.127592105024000091e-02 4.969179490749856543e-01 4.901311999999999891e-01 1.028369999999999979e-02 4.136925941722428292e-04
1.141427726208000051e-02 4.700677201833000640e-01 4.615399000000000029e-01 9.698972000000000149e-03 4.140681137842058194e-04
1.155606587519999832e-02 4.458357979798234227e-01 4.644387999999999850e-01 9.567670999999999815e-03 4.144595524588135568e-04
1.170143384255999813e-02 4.234387119457477255e-01 4.326772999999999869e-01 9.149587000000000692e-03 4.148677775103292017e-04
1.185049662719999883e-02 4.025085579583768114e-01 3.887459999999999805e-01 8.562273999999999927e-03 4.152939050347837792e-04
