# Dataset "300K (+)" exported from GenX on Fri Dec 16 10:23:57 2016
# Column lables:
# x	I_simulated	I	error(I)	error(x)
8.817194218112001103e-03 1.000001329187422128e+00 1.010593999999999992e+00 2.994002000000000122e-02 4.080165521769448791e-04
8.901570106016000808e-03 1.000001329187421684e+00 9.958746000000000542e-01 2.760949999999999863e-02 4.081818571024263867e-04
8.987574985535999941e-03 1.000001329187421906e+00 1.022551999999999905e+00 2.664015000000000133e-02 4.083524114939722071e-04
9.075259237856000971e-03 1.000001329187421906e+00 9.759200999999999571e-01 2.500275000000000067e-02 4.085284125927410759e-04
9.164670095336001007e-03 9.996766895145785536e-01 1.033765999999999963e+00 2.495166000000000051e-02 4.087101414005975112e-04
9.255861087984000937e-03 9.994564906353785583e-01 9.875393999999999561e-01 2.379975000000000146e-02 4.088978507021527359e-04
9.348884696200002176e-03 9.993062252648120536e-01 9.988867000000000163e-01 2.364785999999999971e-02 4.090917487681716962e-04
9.443797598816000560e-03 9.958714048387198314e-01 9.721307000000000142e-01 2.308173000000000169e-02 4.092921938867391941e-04
9.540656474664000603e-03 9.936851802115677090e-01 8.956315000000000248e-01 2.158904999999999852e-02 4.094994067098144445e-04
9.639523250616000710e-03 9.921468257884847874e-01 9.896907000000000343e-01 2.188340000000000077e-02 4.097137721633268485e-04
9.740459853544001026e-03 9.788540994984510357e-01 9.757445999999999620e-01 2.092089999999999922e-02 4.099355681375311047e-04
9.843533458360000793e-03 9.719008742561313641e-01 9.777101999999999737e-01 2.044843000000000008e-02 4.101652115795726425e-04
9.948813339192001670e-03 9.562254144451528548e-01 9.468556000000000195e-01 1.966808999999999918e-02 4.104030020451420986e-04
1.005636667095199943e-02 9.333419239941268541e-01 9.605540999999999663e-01 1.942411999999999958e-02 4.106493659532765980e-04
1.016627322384800088e-02 9.191591679892157085e-01 9.070844999999999603e-01 1.832912999999999903e-02 4.109047926321766583e-04
1.027860856965600103e-02 8.798542469612739003e-01 8.944826999999999639e-01 1.768000999999999948e-02 4.111695621796346246e-04
1.039345247858400149e-02 8.536131291611144256e-01 8.574201999999999657e-01 1.677060000000000009e-02 4.114443465213890702e-04
1.051088996888000122e-02 8.186797488315409321e-01 8.272216000000000014e-01 1.614134999999999875e-02 4.117295189449311364e-04
1.063101760448000033e-02 7.836080324673896369e-01 7.754746999999999613e-01 1.531710000000000016e-02 4.120257305879349843e-04
1.075391620520000160e-02 7.570804867411979888e-01 7.645408000000000204e-01 1.497375999999999915e-02 4.123333709948783432e-04
1.087970122792000088e-02 7.191711367132563870e-01 7.657418000000000280e-01 1.468057000000000042e-02 4.126533059787719634e-04
1.100844614520000118e-02 6.921062182374437821e-01 6.812200000000000477e-01 1.351378999999999948e-02 4.129859289985676795e-04
1.114028740608000168e-02 6.633760984657383064e-01 6.743787999999999450e-01 1.323739999999999986e-02 4.133321335168728297e-04
1.127531947528000178e-02 6.388389042886902791e-01 6.502947999999999507e-01 1.279165999999999984e-02 4.136925941722428292e-04
1.141366830576000073e-02 6.156905112354573717e-01 6.481966999999999590e-01 1.241986999999999952e-02 4.140681137842058194e-04
1.155544935440000129e-02 5.940338853973512467e-01 6.042840999999999907e-01 1.178256999999999916e-02 4.144595524588135568e-04
1.170080956632000083e-02 5.733995667381553973e-01 5.821952999999999712e-01 1.146090999999999950e-02 4.148677775103292017e-04
1.184986439840000037e-02 5.535658512201985237e-01 5.420101000000000502e-01 1.092219000000000002e-02 4.152939050347837792e-04
1.200276079576000077e-02 5.343896769896618881e-01 5.287148000000000403e-01 1.049818999999999926e-02 4.157388797938556843e-04
1.215965619960000105e-02 5.157693572560891893e-01 5.187910000000000021e-01 9.939636999999999431e-03 4.162038767339992285e-04
1.232071854720000019e-02 4.976289117406152429e-01 5.087817999999999508e-01 9.377543999999999810e-03 4.166900917349607701e-04
1.248609478368000250e-02 4.799132129893684540e-01 4.848013999999999935e-01 8.827079999999999302e-03 4.171989122256312683e-04
1.265597383848000163e-02 4.625761061423639964e-01 4.638895000000000102e-01 8.523340000000000777e-03 4.177317565029500888e-04
1.283053414496000168e-02 4.455831291210987644e-01 4.425554999999999906e-01 8.094712999999999908e-03 4.182900742833853052e-04
1.300998562471999964e-02 4.289051480980835551e-01 4.366943999999999826e-01 7.721747999999999633e-03 4.188755548966900427e-04
1.319452770328000124e-02 4.125204628696831355e-01 4.118085000000000218e-01 6.974560000000000308e-03 4.194243370941772259e-04
1.319452770328000124e-02 4.125210012150869465e-01 4.256850999999999829e-01 7.496222999999999775e-03 4.194901130563627304e-04
1.338437030224000172e-02 3.964137649639484784e-01 3.895120000000000249e-01 6.566027000000000322e-03 4.200679923489648708e-04
1.338437030224000172e-02 3.964142781425685214e-01 3.992225999999999830e-01 7.165504999999999965e-03 4.201355672172495440e-04
1.357976532752000129e-02 3.805695765403170339e-01 3.909267000000000158e-01 6.256302000000000044e-03 4.207446353302796735e-04
1.357976532752000129e-02 3.805700681109523420e-01 3.644255000000000133e-01 8.069958000000000339e-03 4.208141264036177566e-04
1.378094369288000200e-02 3.649792342158353353e-01 3.706233999999999917e-01 5.956666000000000218e-03 4.214565724182741963e-04
1.398817829640000045e-02 3.496347394034171607e-01 3.452438999999999925e-01 5.585167999999999730e-03 4.222063134059461089e-04
