# Dataset "300K (-)" exported from GenX on Fri Dec 16 10:23:57 2016
# Column lables:
# x	I_simulated	I	error(I)	error(x)
8.817194218112001103e-03 1.000001329187422350e+00 1.054909000000000097e+00 2.847146999999999872e-02 4.080165521769448791e-04
8.901570106016000808e-03 1.000001329187421684e+00 1.056553000000000075e+00 2.648121999999999976e-02 4.081818571024263867e-04
8.987574985535999941e-03 1.000001329187421240e+00 1.000515999999999961e+00 2.449486000000000024e-02 4.083524114939722071e-04
9.075259237856000971e-03 1.000001329187422128e+00 1.006045000000000078e+00 2.361945999999999837e-02 4.085284125927410759e-04
9.164670095336001007e-03 9.994764477902478017e-01 1.013139000000000012e+00 2.296095999999999901e-02 4.087101414005975112e-04
9.255861087984000937e-03 9.991410357636013595e-01 1.036640000000000006e+00 2.269515000000000074e-02 4.088978507021527359e-04
9.348884696200002176e-03 9.989226919963360984e-01 1.024366000000000110e+00 2.228308999999999845e-02 4.090917487681716962e-04
9.443797598816000560e-03 9.934095507030838990e-01 1.015441000000000038e+00 2.195596999999999827e-02 4.092921938867391941e-04
9.540656474664000603e-03 9.901163835808147740e-01 9.724302999999999697e-01 2.094425999999999927e-02 4.094994067098144445e-04
9.639523250616000710e-03 9.879088415931145395e-01 1.002655999999999992e+00 2.048714999999999911e-02 4.097137721633268485e-04
9.740459853544001026e-03 9.669050471063731500e-01 9.984300000000000397e-01 1.968492000000000158e-02 4.099355681375311047e-04
9.843533458360000793e-03 9.567082712812591261e-01 9.899896000000000251e-01 1.913882999999999904e-02 4.101652115795726425e-04
9.948813339192001670e-03 9.322831283284476189e-01 9.672418000000000404e-01 1.848924000000000054e-02 4.104030020451420986e-04
1.005636667095199943e-02 8.976663802750644017e-01 9.163004000000000149e-01 1.762290000000000037e-02 4.106493659532765980e-04
1.016627322384800088e-02 8.776112361268527673e-01 8.902894000000000085e-01 1.687490000000000170e-02 4.109047926321766583e-04
1.027860856965600103e-02 8.174617281528426815e-01 8.713904000000000094e-01 1.621544999999999931e-02 4.111695621796346246e-04
1.039345247858400149e-02 7.801992372606489923e-01 8.094314000000000231e-01 1.513071000000000034e-02 4.114443465213890702e-04
1.051088996888000122e-02 7.291170438328072878e-01 7.684098999999999791e-01 1.444350999999999968e-02 4.117295189449311364e-04
1.063101760448000033e-02 6.796781422250030014e-01 7.153414000000000161e-01 1.365380000000000066e-02 4.120257305879349843e-04
1.075391620520000160e-02 6.446328322746606165e-01 6.431915000000000271e-01 1.273313000000000049e-02 4.123333709948783432e-04
1.087970122792000088e-02 5.919821702298020405e-01 5.973003999999999536e-01 1.200851000000000002e-02 4.126533059787719634e-04
1.100844614520000118e-02 5.576153068015190506e-01 5.650863000000000413e-01 1.140960000000000064e-02 4.129859289985676795e-04
1.114028740608000168e-02 5.209946004154830668e-01 5.465227000000000279e-01 1.104152000000000085e-02 4.133321335168728297e-04
1.127531947528000178e-02 4.916236342858523733e-01 4.901311999999999891e-01 1.028369999999999979e-02 4.136925941722428292e-04
1.141366830576000073e-02 4.647784790283885359e-01 4.615399000000000029e-01 9.698972000000000149e-03 4.140681137842058194e-04
1.155544935440000129e-02 4.406036975843508063e-01 4.644387999999999850e-01 9.567670999999999815e-03 4.144595524588135568e-04
1.170080956632000083e-02 4.183008074973983970e-01 4.326772999999999869e-01 9.149587000000000692e-03 4.148677775103292017e-04
1.184986439840000037e-02 3.974927246520625346e-01 3.887459999999999805e-01 8.562273999999999927e-03 4.152939050347837792e-04
1.200276079576000077e-02 3.779348928554122078e-01 3.592963000000000129e-01 8.008741999999999250e-03 4.157388797938556843e-04
1.215965619960000105e-02 3.594513670225615298e-01 3.661325000000000274e-01 7.730775999999999967e-03 4.162038767339992285e-04
1.232071854720000019e-02 3.419086421553417798e-01 3.349725000000000064e-01 7.041221000000000285e-03 4.166900917349607701e-04
1.248609478368000250e-02 3.252050719841216853e-01 3.141237000000000057e-01 6.573637000000000230e-03 4.171989122256312683e-04
1.265597383848000163e-02 3.092559636008633261e-01 3.139559000000000100e-01 6.490654000000000215e-03 4.177317565029500888e-04
1.283053414496000168e-02 2.939939382401093870e-01 2.815488999999999908e-01 5.974387000000000274e-03 4.182900742833853052e-04
1.300998562471999964e-02 2.793614477298488330e-01 2.850401000000000185e-01 5.773549000000000216e-03 4.188755548966900427e-04
1.319452770328000124e-02 2.653112869243285377e-01 2.768068000000000195e-01 4.751079000000000066e-03 4.194243370941772259e-04
1.319452770328000124e-02 2.653119679829581967e-01 2.614299999999999957e-01 5.436166000000000088e-03 4.194901130563627304e-04
1.338437030224000172e-02 2.518055522097741306e-01 2.432316999999999951e-01 4.305230000000000168e-03 4.200679923489648708e-04
1.338437030224000172e-02 2.518061834996034309e-01 2.441870999999999903e-01 5.185585999999999841e-03 4.201355672172495440e-04
1.357976532752000129e-02 2.388080541172004634e-01 2.462019000000000013e-01 4.120033999999999849e-03 4.207446353302796735e-04
1.357976532752000129e-02 2.388086417451066035e-01 2.293960999999999917e-01 5.926240999999999627e-03 4.208141264036177566e-04
1.378094369288000200e-02 2.262906311883767230e-01 2.253089000000000064e-01 3.852242999999999987e-03 4.214565724182741963e-04
1.398817829640000045e-02 2.142273752538411125e-01 2.070038999999999907e-01 3.586558000000000107e-03 4.222063134059461089e-04
1.420174203616000191e-02 2.025967924918585239e-01 2.059593000000000118e-01 3.476767999999999872e-03 4.229965516389111186e-04
1.442191830632000120e-02 1.913805322808264653e-01 1.882254999999999900e-01 3.259624999999999936e-03 4.238301747923217699e-04
1.464904298144000146e-02 1.805610029262376681e-01 1.872331999999999885e-01 3.243362000000000068e-03 4.247107131713185680e-04
1.488342044784000083e-02 1.701252368929046521e-01 1.732464999999999977e-01 3.231987999999999875e-03 4.256412265047759672e-04
1.512542856440000048e-02 1.600596891477368278e-01 1.628517999999999910e-01 3.133554000000000200e-03 4.266261694543479512e-04
1.537543469392000164e-02 1.503539523115628163e-01 1.473565000000000014e-01 2.918098999999999953e-03 4.276692068601151793e-04
1.563384818352000355e-02 1.409983349329927138e-01 1.389238999999999891e-01 2.750555999999999921e-03 4.287755839085989899e-04
1.590108887640000190e-02 1.319849942223068617e-01 1.338598000000000010e-01 2.620003999999999996e-03 4.299500598737486068e-04
1.617762909616000250e-02 1.233063957663807358e-01 1.228284000000000042e-01 2.463910000000000145e-03 4.311984953558627609e-04
1.646396215856000059e-02 1.149564003138209833e-01 1.176905000000000034e-01 2.416770999999999850e-03 4.325270679171420584e-04
1.676061286759999991e-02 1.069298238554901720e-01 1.092594000000000065e-01 2.376395999999999804e-03 4.339426752799959157e-04
1.706814801160000047e-02 9.922212527131535342e-02 9.840801000000000409e-02 2.345438000000000037e-03 4.354534229440503671e-04
1.738717636320000204e-02 9.182942624207000859e-02 9.295857000000000425e-02 2.219544999999999851e-03 4.370671114610318324e-04
1.771835917543999883e-02 8.474829846911312303e-02 8.351137999999999617e-02 2.037861000000000186e-03 4.387938547996769897e-04
1.806241018176000038e-02 7.797581562590727433e-02 7.832103999999999455e-02 1.916034000000000053e-03 4.406439407543918702e-04
1.842007460384000039e-02 7.150993953759596233e-02 7.035758000000000290e-02 1.762253000000000083e-03 4.426292729319311722e-04
1.879220262416000237e-02 6.534818461918263932e-02 6.540659999999999530e-02 1.683358000000000033e-03 4.447630672680567766e-04
1.917966541735999925e-02 5.948916629043518589e-02 5.955306999999999962e-02 1.598000999999999935e-03 4.470599938819062218e-04
1.958344961496000236e-02 5.393105090906477606e-02 5.317536999999999958e-02 1.484421999999999998e-03 4.495370600871968444e-04
2.000460482496000184e-02 4.867246293073806962e-02 4.672993000000000285e-02 1.369093999999999953e-03 4.522125960714605953e-04
2.044426462400000116e-02 4.371214590409430029e-02 4.572777000000000092e-02 1.339343999999999908e-03 4.551081914274450967e-04
2.090367804560000486e-02 3.904862510870374392e-02 4.069790000000000213e-02 1.237695999999999935e-03 4.582474215923096794e-04
2.138423057232000102e-02 3.468010838528851059e-02 3.532818000000000069e-02 1.145030999999999913e-03 4.616578723730485568e-04
2.188738115927999980e-02 3.060506893358627342e-02 2.976360999999999937e-02 1.036905000000000075e-03 4.653702643310593176e-04
2.241478818712000151e-02 2.682112916685622933e-02 2.605996000000000007e-02 9.517236000000000098e-04 4.694194641418695775e-04
2.296824648552000039e-02 2.332566807922946406e-02 2.292173999999999948e-02 8.819798000000000221e-04 4.738462037243730269e-04
2.354971882144000356e-02 2.011551911744438939e-02 1.886679000000000134e-02 7.942709000000000054e-04 4.786962689313652673e-04
2.372311406304000378e-02 1.923054623188541479e-02 1.897665000000000116e-02 4.085599999999999779e-04 4.594784448294500566e-04
2.406444658464000283e-02 1.761220265164872498e-02 1.736201999999999884e-02 3.782893000000000171e-04 4.613648778562256690e-04
2.416139887560000282e-02 1.718660370607581062e-02 1.691546000000000022e-02 7.613615999999999917e-04 4.840232305010163153e-04
2.441576087832000169e-02 1.607955136851643360e-02 1.579757000000000036e-02 3.427783999999999909e-04 4.633429230745194326e-04
2.477747678728000474e-02 1.463174202131524958e-02 1.462531000000000074e-02 3.226824999999999789e-04 4.654185688779617137e-04
2.480570074640000081e-02 1.453400996818215128e-02 1.430213999999999964e-02 6.905395999999999843e-04 4.898874338052058896e-04
